Date,Open,High,Low,Close,Volume,Adj Close
2016-10-21,60.279999,60.450001,59.490002,59.66,79974200,59.66
2016-10-20,57.50,57.52,56.66,57.25,49455600,57.25
2016-10-19,57.470001,57.84,57.400002,57.529999,22878400,57.529999
2016-10-18,57.529999,57.950001,57.41,57.66,19149500,57.66
2016-10-17,57.360001,57.459999,56.869999,57.220001,23830000,57.220001
2016-10-14,57.119999,57.740002,57.119999,57.419998,27402500,57.419998
2016-10-13,56.700001,57.299999,56.32,56.919998,25313700,56.919998
2016-10-12,57.110001,57.27,56.400002,57.110001,22177500,57.110001
2016-10-11,57.889999,58.02,56.889999,57.189999,26497400,57.189999
2016-10-10,57.91,58.389999,57.869999,58.040001,18196500,58.040001
2016-10-07,57.849998,57.98,57.419998,57.799999,20089000,57.799999
2016-10-06,57.740002,57.860001,57.279999,57.740002,16212600,57.740002
2016-10-05,57.290001,57.959999,57.259998,57.639999,16726400,57.639999
2016-10-04,57.27,57.599998,56.970001,57.240002,20085900,57.240002
2016-10-03,57.41,57.549999,57.060001,57.419998,19189500,57.419998
2016-09-30,57.57,57.77,57.34,57.599998,29910800,57.599998
2016-09-29,57.810001,58.169998,57.209999,57.400002,25463500,57.400002
2016-09-28,57.880001,58.060001,57.669998,58.029999,20536400,58.029999
2016-09-27,56.93,58.060001,56.68,57.950001,28065100,57.950001
2016-09-26,57.080002,57.139999,56.830002,56.900002,21688700,56.900002
2016-09-23,57.869999,57.91,57.380001,57.43,19955300,57.43
2016-09-22,57.919998,58.00,57.630001,57.82,19822200,57.82
